Re,S,Lambda,regime,converged,viscosity_ratio
300,0.5,0.05,turbulent,True,18.42655081700547
300,0.5,0.1,turbulent,True,18.42638270513286
300,0.5,0.25,turbulent,True,18.425940308128563
300,0.5,0.5,turbulent,True,18.425382935236428
300,0.5,1.0,turbulent,True,18.42473267224917
300,0.5,2.0,turbulent,True,18.42428094607057
300,0.5,5.0,turbulent,True,18.42414900161652
500,0.005,0.0,turbulent,True,28.460309114779413
500,0.005,0.01,turbulent,True,27.377195705320723
500,0.005,0.05,turbulent,True,13.718530689514841
500,0.005,0.1,turbulent,True,21.669172659901076
500,0.005,0.25,turbulent,True,17.30161246885174
500,0.005,0.5,laminar,True,9.763077949758
500,0.005,1.0,laminar,True,8.555607000001968
500,0.005,2.0,laminar,True,8.453355708831763
500,0.005,5.0,turbulent,True,10.741957752209842
500,0.01,0.0,turbulent,True,28.460309114779413
500,0.01,0.01,turbulent,True,27.917452914435625
500,0.01,0.05,turbulent,True,26.16980501498687
500,0.01,0.1,turbulent,True,13.669954172512064
500,0.01,0.25,turbulent,True,21.578949289777505
500,0.01,0.5,turbulent,True,19.176995068086267
500,0.01,1.0,turbulent,True,10.7093217689017
500,0.01,2.0,turbulent,True,10.494316518764471
500,0.01,5.0,turbulent,True,12.051245771498682
500,0.05,0.0,turbulent,True,28.460309114779413
500,0.05,0.01,turbulent,True,28.45729317632172
500,0.05,0.05,turbulent,True,28.445865557432132
500,0.05,0.1,turbulent,True,28.432835442504874
500,0.05,0.25,turbulent,True,28.400731339827946
500,0.05,0.5,turbulent,True,28.364822750190914
500,0.05,1.0,turbulent,True,28.3334671295341
500,0.05,2.0,turbulent,True,28.339648913519067
500,0.05,5.0,turbulent,True,28.41457398068273
500,0.1,0.0,turbulent,True,28.460309114779413
500,0.1,0.01,turbulent,True,28.46015146461871
500,0.1,0.05,turbulent,True,28.459537788302274
500,0.1,0.1,turbulent,True,28.458807611310775
500,0.1,0.25,turbulent,True,28.456850107949116
500,0.1,0.5,turbulent,True,28.45426817045753
500,0.1,1.0,turbulent,True,28.45099318198784
500,0.1,2.0,turbulent,True,28.448529410846856
500,0.1,5.0,turbulent,True,28.448501712019745
500,0.5,0.0,turbulent,True,28.460309114779413
500,0.5,0.01,turbulent,True,28.460215030483653
500,0.5,0.05,turbulent,True,28.459844180707968
500,0.5,0.1,turbulent,True,28.459394293691453
500,0.5,0.25,turbulent,True,28.458139145150884
500,0.5,0.5,turbulent,True,28.45634878313046
500,0.5,1.0,turbulent,True,28.4537125764918
500,0.5,2.0,turbulent,True,28.450884728975012
500,0.5,5.0,turbulent,True,28.448981121636628
