omega*t = 130 degrees,,omega*t = 120 degrees,,omega*t = 90 degrees,,omega*t = 60 degrees,,omega*t = 30 degrees,,omega*t = 15 degrees,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
60712540.02096392,0.14861994872440365,59865954.48783343,0.07685127471936608,59712278.21968319,0.038830214112728134,61039623.806558646,0.028741334076738432,59533055.50155554,0.017475814612764196,61529088.81899207,0.011128666688863746
36111083.604182854,0.17484597438791233,36432380.799944,0.08532847468887221,35111027.384730674,0.04675236386856769,35475934.44161593,0.03381392179429583,35008693.94356703,0.02153383749099266,35755735.79257167,0.012646094897099192
16855887.70501939,0.22833163093440248,16423389.694002759,0.10639448895629547,16390510.70579335,0.06248333888965573,16182390.21172473,0.04519249189167674,16324950.064972209,0.02155035457974561,16310021.934868913,0.0169015751729496
7340782.726408144,0.298199418061,7070536.964367433,0.14056914315818922,7055767.235057431,0.08066495208218709,7292651.7633699635,0.0519655697189313,6709136.320139957,0.026873233954238424,6787137.967687791,0.02687292176420018
3235789.11593135,0.4474492026217079,3043981.412846931,0.18572093537987988,2860800.3242368526,0.0597620712078037,3098389.8413096666,0.044232099278202805,3024681.856095939,0.03429219595842218,3024945.4051823253,0.03509502127392257
1649815.9785648705,0.1923993419895415,1702904.218061686,0.08658767736127439,1760229.4846627165,0.05708698625758231,1718504.8894448536,0.04529445877241623,1718430.0252409962,0.04477338896077314,1758773.100107783,0.04582052813565455
822389.8022119021,0.09505496281012567,802651.0133233442,0.06955158128046311,793391.9271375213,0.06875225497307688,793357.3641546968,0.06796132545278262,793426.4916260967,0.0695523892800922,793391.9271375213,0.06875225497307688
353774.689580974,0.10197500656566214,357887.7389112132,0.10197382190804886,362064.38012230326,0.10315938823671306,362048.60730621644,0.10197263726419784,357903.3304571318,0.1031605866673728,349708.90975162486,0.101976191237038
78952.7924448293,0.21918289852028902,78956.23205997927,0.22173373495010226,80792.26393623462,0.2141639469095109,78952.7924448293,0.21918289852028902,80799.30359473774,0.2191778059943857,79874.19167370166,0.22173115903894436
